classPackage,artifactId
bsh,org.beanshell--bsh--2.0b5
com.agical.rmock,com.agical.rmock--rmock--2.0.2
com.agical.rmock.core,com.agical.rmock--rmock--2.0.2
com.agical.rmock.extension.cglib,com.agical.rmock--rmock--2.0.2
com.agical.rmock.extension.junit,com.agical.rmock--rmock--2.0.2
com.bea.xml.stream,stax--stax--1.2.0_rc2-dev
com.beust.jcommander,com.beust--jcommander--1.72
com.bluecast.xml.Piccolo,piccolo--piccolo--1.0.3
com.carrotsearch.hppc,com.carrotsearch--hppc--0.8.0
com.fasterxml.jackson,com.fasterxml.jackson--jackson-base--2.9.8
com.fasterxml.jackson.annotation,com.fasterxml.jackson.core--jackson-annotations--2.0.6
com.fasterxml.jackson.core,com.fasterxml.jackson.core--jackson-core--2.7.9
com.fasterxml.jackson.databind,com.fasterxml.jackson.core--jackson-databind--2.9.8
com.fasterxml.jackson.dataformat.cbor,com.fasterxml.jackson.dataformat--jackson-dataformat-cbor--2.9.8
com.fasterxml.jackson.dataformat.smile,com.fasterxml.jackson.dataformat--jackson-dataformat-smile--2.8.11
com.fasterxml.jackson.dataformat.yaml,com.fasterxml.jackson.dataformat--jackson-dataformat-yaml--2.9.8
com.flat502.rox,rox-xmlrpc--rox--1.2
com.gargoylesoftware.htmlunit,net.sourceforge.htmlunit--htmlunit--2.29
com.github.mustachejava,com.github.spullara.mustache.java--compiler--0.9.0
com.github.spullara.mustache.java,com.github.spullara.mustache.java--compiler--0.9.0
com.google.common,com.google.guava--guava-gwt--11.0.2
com.google.common.annotations,com.google.guava--guava-annotations--r03
com.google.common.collect,com.google.guava--guava-collections--r03
com.google.common.escape,com.google.guava--guava--24.0-jre
com.google.gson,com.google.code.gson--gson--2.8.2
com.google.gson.reflect,com.google.code.gson--gson--2.8.2
com.google.thirdparty,com.diffplug.guava--guava-parse--19.0.0
com.googlecode.totallylazy,com.googlecode.totallylazy--totallylazy--2.99
com.hitachi.devsuite.dbunitservice,com.hitachi.devsuite.dbtest--dbunitservice--0
com.jcraft.jsch,com.jcraft--jsch--0.1.55
com.microsoft.schemas.office,org.apache.poi--poi-ooxml-schemas--3.17
com.steadystate.css,net.sourceforge.cssparser--cssparser--0.9.24
com.steadystate.css.dom,net.sourceforge.cssparser--cssparser--0.9.25
com.sun.jna,net.java.dev.jna--jna--4.5.1
com.sun.jna.platform,net.java.dev.jna--jna-platform--4.5.1
com.sun.jna.platform.win32.COM,net.java.dev.jna--jna-platform--4.5.1
com.sun.research.ws.wadl,com.sun.jersey--jersey-server--1.18
com.tdunning,com.tdunning--t-digest--3.0
com.tdunning.math.stats,com.tdunning--t-digest--3.0
com.thoughtworks.selenium,org.seleniumhq.selenium--selenium-api--3.11.0
com.thoughtworks.selenium.condition,org.seleniumhq.selenium--selenium-leg-rc--3.11.0
com.vividsolutions,com.vividsolutions--jts--1.13
com.vividsolutions.jts,com.vividsolutions--jts--1.13
com.wutka.dtd,com.wutka--dtdparser--1.21
commons-codec,org.lucee--commons-codec--1.10.L001
commons-logging,commons-logging--commons-logging--1.2
cucumber.api,io.cucumber--cucumber-core--2.4.0
cucumber.api.cli,se.redmind--rmtest-cucumber-selenium--2.8.3
cucumber.api.java,info.cukes--cucumber-java--1.2.5
cucumber.core,io.cucumber--cucumber-core--2.4.0
cucumber.deps,io.cucumber--cucumber-core--2.4.0
cucumber.deps.com.thoughtworks.xstream,io.cucumber--cucumber-jvm-deps--1.0.6
cucumber.runtime,io.cucumber--cucumber-core--2.4.0
cybervillains.ca,org.seleniumhq.selenium--selenium-server--3.11.0
ecando_cucumber.common,ecando_cucumber--fdunit--0
ecando_cucumber.fdunit,ecando_cucumber--fdunit--0
ecando_cucumber.tools,ecando_cucumber--fdunit--0
gherkin,info.cukes--gherkin--2.12.2
hudson.matrix,org.jvnet.hudson.main--hudson-core--1.159
hudson.tasks.junit,org.jvnet.hudson.main--hudson-core--1.69
io.netty,io.netty--netty--4.0.0.Alpha8
io.netty.bootstrap,io.netty--netty-transport--4.1.32.Final
io.netty.buffer,io.netty--netty-buffer--4.0.28.Final
io.netty.handler.codec,io.netty--netty-handler--4.1.32.Final
io.netty.handler.codec.http,io.netty--netty-handler--4.1.32.Final
io.netty.handler.flow,io.netty--netty-handler--4.1.32.Final
io.netty.resolver,io.netty--netty-resolver--4.1.8.Final
io.netty.util,io.netty--netty-common--4.0.17.Final
javassist,javassist--javassist--3.1RC1
javassist.bytecode.analysis,org.javassist--javassist--3.22.0-GA
javax.annotation,javax.annotation--javax.annotation-api--1.3.2
javax.annotation.sql,javax.annotation--javax.annotation-api--1.3.2
javax.inject,org.glassfish.hk2.external--javax.inject--2.5.0-b61
javax.servlet.jsp,javax.servlet.jsp--javax.servlet.jsp-api--2.3.2-b02
javax.validation,javax.validation--validation-api--2.0.1.Final
javax.ws.rs,javax.ws.rs--javax.ws.rs-api--2.1
javax.ws.rs.client,javax.ws.rs--javax.ws.rs-api--2.1
javax.xml,stax--stax-api--1.0.1
javax.xml.bind,javax.xml--jaxb-api--2.0
javax.xml.namespace,org.apache.xmlbeans--xmlbeans-qname--2.6.0
javax.xml.parsers,xml-apis--xml-apis--1.4.01
javax.xml.stream,javax.xml--jsr173--1.0
javax.xml.stream.events,javax.xml--jsr173--1.0
