identificationType,fileIdentifier,fileSize,projectsName,licenseName(s),similarity(s)
pathSuffix,W3C DOCUMENT NOTICE AND LICENSE.dom-documentation.txt,4083,?----,Approved/W3C DOCUMENT NOTICE AND LICENSE.dom-documentation,0.94365
pathSuffix,W3C SOFTWARE NOTICE AND LICENSE.dom-software.txt,3595,?----,"spdx/W3C-19980720
Approved/W3C SOFTWARE NOTICE AND LICENSE.dom-software","0.94773,
0.94918"
pathSuffix,cucumber-sandwich.jar#\asm-license.txt,1538,?--cucumber-sandwich.jar#--0,"spdx/BSD-3-Clause
spdx/BSD-Source-Code
Approved/cucumber-sandwich.jar#/asm-license","0.85759,
0.82093,
0.85254"
pathSuffix,cucumber-sandwich.jar#\cglib-license.txt,11356,?--cucumber-sandwich.jar#--0,"spdx/Apache-2.0
Approved/elasticsearch-6.2.3/modules/transport-netty4/transport-netty4-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/LICENSE","0.92395,
0.92598,
0.92506"
pathSuffix,cucumber-sandwich.jar#\hamcrest-license.txt,1481,?--cucumber-sandwich.jar#--0,"spdx/BSD-3-Clause
Approved/cucumber-sandwich.jar#/hamcrest-license
Approved/cucumber-sandwich.jar#/asm-license","0.83419,
0.84360,
0.81138"
pathSuffix,cucumber-sandwich.jar#\LICENSE,1080,?--cucumber-sandwich.jar#--0,"spdx/MIT
spdx/MIT-0
spdx/JSON","0.87298,
0.86207,
0.84850"
pathSuffix,cucumber-sandwich.jar#\NOTICE,160,?--cucumber-sandwich.jar#--0,Approved/cucumber-sandwich.jar#/NOTICE,0.90190
pathSuffix,cucumber-sandwich.jar#\objenesis-license.txt,1089,?--cucumber-sandwich.jar#--0,"spdx/MIT
spdx/MIT-0
Approved/cucumber-sandwich.jar#/objenesis-license","0.86996,
0.85803,
0.89312"
pathSuffix,cucumber-sandwich.jar#\charts\codemirror.zip#\CodeMirror-2.33\LICENSE,1228,?--codemirror--,Approved/cucumber-sandwich.jar#/charts/codemirror.zip#/CodeMirror-2.33/LICENSE,0.87415
pathSuffix,cucumber-sandwich.jar#\licenses\extreme.indiana.edu.license.TXT,2239,?--cucumber-sandwich.jar#--0,Approved/cucumber-sandwich.jar#/licenses/extreme.indiana.edu.license.TXT,0.89195
pathSuffix,cucumber-sandwich.jar#\licenses\javolution.license.TXT,1431,?--cucumber-sandwich.jar#--0,"spdx/BSD-2-Clause
spdx/BSD-2-Clause-NetBSD
Approved/cucumber-sandwich.jar#/licenses/javolution.license.TXT","0.84250,
0.81377,
0.85336"
pathSuffix,elasticsearch-6.2.3\LICENSE.txt,11358,?--elasticsearch---6.2.3,"Approved/elasticsearch-6.2.3/modules/transport-netty4/transport-netty4-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/reindex/httpcore-nio-4.4.5.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/repository-url/repository-url-6.2.3.jar#/META-INF/LICENSE","0.93671,
0.93558,
0.93297"
pathSuffix,elasticsearch-6.2.3\NOTICE.txt,191887,?--elasticsearch---6.2.3,Approved/elasticsearch-6.2.3/NOTICE,0.96411
pathSuffix,elasticsearch-6.2.3\lib\elasticsearch-6.2.3.jar#\META-INF\LICENSE.txt,11358,?--elasticsearch---6.2.3,"spdx/Apache-2.0
Approved/elasticsearch-6.2.3/modules/transport-netty4/transport-netty4-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/LICENSE","0.93724,
0.93924,
0.93842"
pathSuffix,elasticsearch-6.2.3\lib\elasticsearch-cli-6.2.3.jar#\META-INF\LICENSE.txt,11358,?--elasticsearch-cli---6.2.3,"Approved/elasticsearch-6.2.3/modules/transport-netty4/transport-netty4-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/repository-url/repository-url-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/reindex/reindex-6.2.3.jar#/META-INF/LICENSE","0.93367,
0.92860,
0.92844"
pathSuffix,elasticsearch-6.2.3\lib\elasticsearch-core-6.2.3.jar#\META-INF\LICENSE.txt,11358,?--elasticsearch-core---6.2.3,"Approved/elasticsearch-6.2.3/modules/transport-netty4/transport-netty4-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/reindex/reindex-6.2.3.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/modules/repository-url/repository-url-6.2.3.jar#/META-INF/LICENSE","0.94302,
0.94286,
0.94136"
pathSuffix,elasticsearch-6.2.3\lib\elasticsearch-launchers-6.2.3.jar#\META-INF\LICENSE.txt,11358,?--elasticsearch-launchers---6.2.3,"spdx/Apache-2.0
Approved/elasticsearch-6.2.3/LICENSE
Approved/elasticsearch-6.2.3/modules/transport-netty4/transport-netty4-6.2.3.jar#/META-INF/LICENSE","0.92716,
0.93096,
0.92937"
pathSuffix,elasticsearch-6.2.3\lib\HdrHistogram-2.1.9.jar#\META-INF\maven\org.hdrhistogram\HdrHistogram\pom.xml,9661,org.hdrhistogram--HdrHistogram--2.1.9,Approved/elasticsearch-6.2.3/lib/HdrHistogram-2.1.9.jar#/META-INF/maven/org.hdrhistogram/HdrHistogram/pom.xml,0.94616
pathSuffix,elasticsearch-6.2.3\lib\hppc-0.7.1.jar#\META-INF\maven\com.carrotsearch\hppc\pom.xml,18205,com.carrotsearch--hppc--0.7.1,Approved/elasticsearch-6.2.3/lib/hppc-0.7.1.jar#/META-INF/maven/com.carrotsearch/hppc/pom.xml,0.97231
pathSuffix,elasticsearch-6.2.3\lib\jackson-core-2.8.10.jar#\META-INF\LICENSE,332,?--jackson-core---2.8.10,"Approved/elasticsearch-6.2.3/lib/jackson-core-2.8.10.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/lib/jackson-dataformat-yaml-2.8.10.jar#/META-INF/LICENSE","0.85537,
0.84260"
pathSuffix,elasticsearch-6.2.3\lib\jackson-core-2.8.10.jar#\META-INF\NOTICE,822,?--jackson-core---2.8.10,"Approved/elasticsearch-6.2.3/lib/jackson-core-2.8.10.jar#/META-INF/NOTICE
Approved/elasticsearch-6.2.3/lib/jackson-dataformat-yaml-2.8.10.jar#/META-INF/NOTICE","0.93261,
0.93044"
pathSuffix,elasticsearch-6.2.3\lib\jackson-core-2.8.10.jar#\META-INF\maven\com.fasterxml.jackson.core\jackson-core\pom.xml,5417,com.fasterxml.jackson.core--jackson-core--2.8.10,Approved/elasticsearch-6.2.3/lib/jackson-core-2.8.10.jar#/META-INF/maven/com.fasterxml.jackson.core/jackson-core/pom.xml,0.94651
pathSuffix,elasticsearch-6.2.3\lib\jackson-dataformat-cbor-2.8.10.jar#\META-INF\maven\com.fasterxml.jackson.dataformat\jackson-dataformat-cbor\pom.xml,2080,com.fasterxml.jackson.dataformat--jackson-dataformat-cbor--2.8.10,"Approved/elasticsearch-6.2.3/lib/jackson-dataformat-cbor-2.8.10.jar#/META-INF/maven/com.fasterxml.jackson.dataformat/jackson-dataformat-cbor/pom.xml
Approved/elasticsearch-6.2.3/lib/jackson-dataformat-smile-2.8.10.jar#/META-INF/maven/com.fasterxml.jackson.dataformat/jackson-dataformat-smile/pom.xml","0.94288,
0.93800"
pathSuffix,elasticsearch-6.2.3\lib\jackson-dataformat-smile-2.8.10.jar#\META-INF\maven\com.fasterxml.jackson.dataformat\jackson-dataformat-smile\pom.xml,1860,com.fasterxml.jackson.dataformat--jackson-dataformat-smile--2.8.10,"Approved/elasticsearch-6.2.3/lib/jackson-dataformat-smile-2.8.10.jar#/META-INF/maven/com.fasterxml.jackson.dataformat/jackson-dataformat-smile/pom.xml
Approved/elasticsearch-6.2.3/lib/jackson-dataformat-cbor-2.8.10.jar#/META-INF/maven/com.fasterxml.jackson.dataformat/jackson-dataformat-cbor/pom.xml","0.94000,
0.91856"
pathSuffix,elasticsearch-6.2.3\lib\jackson-dataformat-yaml-2.8.10.jar#\META-INF\LICENSE,317,?--jackson-dataformat-yaml---2.8.10,"Approved/elasticsearch-6.2.3/lib/jackson-dataformat-yaml-2.8.10.jar#/META-INF/LICENSE
Approved/elasticsearch-6.2.3/lib/jackson-core-2.8.10.jar#/META-INF/LICENSE","0.83839,
0.81667"
