aliasNames,shortName
"""arev""",Approved/Arev Fonts License
"""vera""",Approved/Arev Fonts License
(mit),spdx/MIT
(mit-style) netcdf c library license,spdx/NetCDF
/net/sf/jasperreports/fonts/dejavu/license,Approved/Arev Fonts License
0bsd,spdx/0BSD
2-clause bsd license,spdx/BSD-2-Clause
3-clause bsd,spdx/BSD-3-Clause
3-clause bsd license,spdx/BSD-3-Clause
3-clause bsd.  the full license text is available at:,spdx/BSD-3-Clause
389 directory server exception,spdx/389-exception
389-exception,spdx/389-exception
3dfx glide license,spdx/Glide
4-clause license,spdx/BSD-4-Clause
aal,spdx/AAL
abstyles,spdx/Abstyles
abstyles license,spdx/Abstyles
academic free license,spdx/AFL-3.0
academic free license 3.0,spdx/AFL-3.0
academic free license v1.1,spdx/AFL-1.1
academic free license v1.2,spdx/AFL-1.2
academic free license v2.0,spdx/AFL-2.0
academic free license v2.1,spdx/AFL-2.1
academic free license v3.0,spdx/AFL-3.0
"academic free license, 1.1",spdx/AFL-1.1
"academic free license, 1.2",spdx/AFL-1.2
"academic free license, 2.0",spdx/AFL-2.0
"academic free license, 2.1",spdx/AFL-2.1
"academic free license, all versions through 3.0",spdx/AFL-3.0
academicfreelicense,spdx/AFL-3.0
academy of motion picture arts and sciences bsd,spdx/AMPAS
acm,Approved/ACM Software License Agreement
acm software license agreement,Approved/ACM Software License Agreement
adaptive public license,spdx/APL-1.0
adaptive public license 1.0,spdx/APL-1.0
adobe glyph list license,spdx/Adobe-Glyph
adobe postscript afm license,spdx/APAFML
adobe systems incorporated source code license agreement,spdx/Adobe-2006
adobe-2006,spdx/Adobe-2006
adobe-glyph,spdx/Adobe-Glyph
adsl,spdx/ADSL
aerospike,Approved/Apache-2.0 based Aerospike Client License
aerospike client license,Approved/Apache-2.0 based Aerospike Client License
aes code,Approved/Apache-2.0 + NIST AES NOTICE
aes code license,Approved/Apache-2.0 + NIST AES NOTICE
affero general public license,spdx/AGPL-1.0
affero general public license v1.0,spdx/AGPL-1.0
affero general public license v1.0 only,spdx/AGPL-1.0-only
affero general public license v1.0 or later,spdx/AGPL-1.0-or-later
affero general public license version 1,spdx/AGPL-1.0
"affero general public license, version 1",spdx/AGPL-1.0
affero general public license?2.0,spdx/AGPL-3.0
affero gpl,spdx/AGPL-1.0
afl-1.1,spdx/AFL-1.1
afl-1.2,spdx/AFL-1.2
afl-2.0,spdx/AFL-2.0
afl-2.1,spdx/AFL-2.1
afl-3.0,spdx/AFL-3.0
aflv2.1,spdx/AFL-2.1
afmparse,spdx/Afmparse
afmparse license,spdx/Afmparse
agpl,spdx/AGPL-1.0
agpl 3,spdx/AGPL-3.0
agpl 3.0,spdx/AGPL-3.0
agpl-1.0,spdx/AGPL-1.0
agpl-1.0+,spdx/AGPL-1.0-or-later
agpl-1.0-only,spdx/AGPL-1.0-only
agpl-1.0-or-later,spdx/AGPL-1.0-or-later
agpl-3.0,spdx/AGPL-3.0
agpl-3.0+,spdx/AGPL-3.0-or-later
agpl-3.0-only,spdx/AGPL-3.0-only
agpl-3.0-or-later,spdx/AGPL-3.0-or-later
agplv1,spdx/AGPL-1.0
agplv1.0,spdx/AGPL-1.0
agplv3.0,spdx/AGPL-3.0
al 2.0,spdx/Apache-2.0
al2,spdx/Apache-2.0
aladdin,spdx/Aladdin
aladdin free public license,spdx/Aladdin
"aladdin free public license (version 9, september 18, 2000)",spdx/Aladdin
"along with this library; if not, write to the free software",spdx/GPL-2.0
alv2,spdx/Apache-2.0
amazon digital services license,spdx/ADSL
amd's plpa_map.c license,spdx/AMDPLPA
amdplpa,spdx/AMDPLPA
aml,spdx/AML
ampas,spdx/AMPAS
and distribution license\t except in compliance \t/legal/\t/legal/\t gpl classpath exception\t designates this particular file as subject to the \t gpl version 2 section of the license\t copyright \t cddl or\n,Approved/CDDL + GPL-2.0-with-classpath-exception
ant-contrib license,Approved/Apache-1.1 based Ant-Contrib License
antlr 3 license,spdx/ANTLR-PD
antlr 4 license,spdx/ANTLR-PD
antlr 4 license http://www.antlr.org/license.html,spdx/ANTLR-PD
antlr and subject to the same license as antlr itself.,spdx/ANTLR-PD
antlr license,spdx/ANTLR-PD
antlr parser generator,spdx/ANTLR-PD
antlr software rights notice,spdx/ANTLR-PD
antlr v4 license,spdx/ANTLR-PD
antlr-pd,spdx/ANTLR-PD
antlr4-runtime license,spdx/ANTLR-PD
any components of the py2app suite may be distributed under,spdx/Python-2.0
apache,Approved/Apache Software Foundation products NOTICE
apache 1.1,spdx/Apache-1.1
apache 2,spdx/Apache-2.0
apache 2.,spdx/Apache-2.0
apache 2.0,spdx/Apache-2.0
apache group. this software is provided,spdx/Apache-2.0
apache james mime4,spdx/Apache-2.0
apache license,spdx/Apache-2.0
apache license 1.0,spdx/Apache-1.0
apache license 1.1,spdx/Apache-1.1
apache license 2.0,spdx/Apache-2.0
apache license v2,spdx/Apache-2.0
apache license v2.0,spdx/Apache-2.0
apache license version 1.1,spdx/Apache-1.1
apache license version 2,spdx/Apache-2.0
apache license version 2.0,spdx/Apache-2.0
