identificationType,fileIdentifier,fileSize,ArtifactId,similarity(s),RawLicenseName(s),licenseName(s),licenseURL(s),auther(s),relatedURL(s),name,description
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.base\ADDITIONAL_LICENSE_INFO,2114,?--java.base--11.0.2#,"0.81738,
0.80752",,Approved/_See ADDITIONAL_LICENSE_INFO,,,,java.base,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.base\LICENSE,19274,?--java.base--11.0.2#,"0.83947,
0.87399,
0.88239",,calculate-Linux/GPL-2-with-classpath-exception,,,,java.base,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.datatransfer\ADDITIONAL_LICENSE_INFO,49,?--java.datatransfer--11.0.2#,"0.74554,
0.74504,
0.74504",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.datatransfer,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.desktop\ADDITIONAL_LICENSE_INFO,49,?--java.desktop--11.0.2#,"0.65927,
0.65898,
0.65841",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.desktop,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.instrument\ADDITIONAL_LICENSE_INFO,49,?--java.instrument--11.0.2#,"0.73755,
0.73157,
0.73056",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.instrument,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.logging\ADDITIONAL_LICENSE_INFO,49,?--java.logging--11.0.2#,"0.71234,
0.71151,
0.70875",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.logging,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.management\ADDITIONAL_LICENSE_INFO,49,?--java.management--11.0.2#,"0.73014,
0.72657,
0.72477",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.management,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.management.rmi\ADDITIONAL_LICENSE_INFO,49,?--java.management.rmi--11.0.2#,"0.68954,
0.68807,
0.68806",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.management.rmi,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.naming\ADDITIONAL_LICENSE_INFO,49,?--java.naming--11.0.2#,"0.69401,
0.69189,
0.69125",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.naming,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.net.http\ADDITIONAL_LICENSE_INFO,49,?--java.net.http--11.0.2#,"0.66387,
0.66660,
0.66494",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.net.http,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.prefs\ADDITIONAL_LICENSE_INFO,49,?--java.prefs--11.0.2#,"0.67767,
0.67742,
0.67636",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.prefs,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.rmi\ADDITIONAL_LICENSE_INFO,49,?--java.rmi--11.0.2#,"0.68362,
0.68017,
0.67868",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.rmi,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.scripting\ADDITIONAL_LICENSE_INFO,49,?--java.scripting--11.0.2#,"0.70440,
0.70067,
0.69693",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.scripting,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.se\ADDITIONAL_LICENSE_INFO,49,?--java.se--11.0.2#,"0.70881,
0.70449,
0.70376",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.se,
